iter	Passed	Remaining
0	1	100
1	2	98
2	2	95
3	3	84
4	4	80
5	5	78
6	5	78
7	6	76
8	7	74
9	8	72
10	8	70
11	9	69
12	10	68
13	10	67
14	11	66
15	12	65
16	13	63
17	13	62
18	14	61
19	15	60
20	15	59
21	16	58
22	17	57
23	17	56
24	18	55
25	19	54
26	20	54
27	21	54
28	21	53
29	22	52
30	23	51
31	24	51
32	24	50
33	25	49
34	26	48
35	26	47
36	27	46
37	28	46
38	29	45
39	29	44
40	30	44
41	30	42
42	31	41
43	32	41
44	33	40
45	33	39
46	34	39
47	35	38
48	36	38
49	37	37
50	38	36
51	39	36
52	39	35
53	40	34
54	40	33
55	41	32
56	42	31
57	43	31
58	44	30
59	44	29
60	45	29
61	46	28
62	47	27
63	47	26
64	48	26
65	49	25
66	50	24
67	51	24
68	52	23
69	53	22
70	53	22
71	54	21
72	55	20
73	55	19
74	56	18
75	57	18
76	58	17
77	58	16
78	59	15
79	60	15
80	61	14
81	62	13
82	63	12
83	63	12
84	64	11
85	65	10
86	66	9
87	66	9
88	67	8
89	68	7
90	69	6
91	70	6
92	71	5
93	72	4
94	73	3
95	74	3
96	75	2
97	75	1
98	76	0
99	77	0
